,id,popularity,release_date,title,vote_average,vote_count
5692,347866,2.5724,2018-07-26,Hot Summer Nights,6.622,794
5693,334524,3.348,2016-02-03,Gold,6.622,1724
5694,241855,2.6858,2014-10-08,Spring,6.622,765
5695,239678,1.7861,2014-09-10,This Is Where I Leave You,6.622,1451
5696,10398,4.9538,1999-09-24,Double Jeopardy,6.622,1437
5697,523773,5.288,2018-08-24,Little Italy,6.621,699
5698,184341,1.0609,2016-08-26,Hands of Stone,6.621,442
5699,171540,0.5836,2013-04-21,Big Bad Wolves,6.621,409
5700,184341,1.0609,2016-08-26,Hands of Stone,6.621,442
5701,171540,0.5836,2013-04-21,Big Bad Wolves,6.621,409
5702,10183,0.9797,2008-03-26,Frozen River,6.621,346
5703,544,4.5224,1998-07-15,There's Something About Mary,6.621,5243
5704,763285,15.5044,2022-03-16,Ambulance,6.62,2384
5705,660833,1.305,2021-11-12,Multiverse,6.62,343
5706,552688,11.5971,2023-05-04,The Mother,6.62,1382
5707,177494,3.9422,2014-03-13,Veronica Mars,6.62,1131
5708,8738,5.1754,1980-01-31,The Final Countdown,6.62,652
5709,428495,0.7331,2017-06-19,The Nile Hilton Incident,6.619,382
5710,166076,0.841,2013-04-23,Superman: Unbound,6.619,453
5711,10664,3.1806,2009-09-15,[REC]²,6.618,2149
5712,8834,17.2159,1997-08-08,Conspiracy Theory,6.6,1596
5713,431819,1.7355,2017-08-18,Fireworks,6.6,361
5714,306650,0.896,2014-11-12,Kajaki,6.618,309
5715,298618,11.4665,2023-06-13,The Flash,6.618,4874
5716,11422,4.1715,1976-06-18,Midway,6.618,314
5717,416186,4.1115,2017-06-24,Godard Mon Amour,6.617,368
5718,245916,1.9722,2014-10-09,Kill the Messenger,6.617,900
5719,245775,0.6718,2014-01-08,Yves Saint Laurent,6.6,917
5720,68727,2.3922,2013-03-27,Trance,6.617,2305
5721,61404,0.7407,2010-11-08,Point Blank,6.617,494
5722,588,14.434,2006-04-21,Silent Hill,6.617,4747
5723,529862,0.8043,2019-08-23,Brittany Runs a Marathon,6.616,504
5724,70954,1.3055,2011-10-06,The Hunter,6.616,696
5725,27958,6.5637,1980-02-15,Cruising,6.616,608
5726,25059,1.6836,1996-03-08,Homeward Bound II: Lost in San Francisco,6.616,528
5727,9352,11.0641,2004-02-20,EuroTrip,6.6,2876
5728,11515,1.1749,2006-11-08,Goya's Ghosts,6.615,524
5729,513045,2.1261,2019-07-11,Stuber,6.614,1385
5730,136403,2.3134,2012-11-27,Populaire,6.616,593
5731,36819,7.1159,1981-07-13,Time Bandits,6.614,1119
